ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL5196250,,,,,345.16,7,11,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,345.1172,None,None,C20H16BNO4,O=C(Nc1ccc2c(c1)B(O)OC2)c1ccc(Oc2ccccc2)cc1,GIGMKDRMAMJVPX-UHFFFAOYSA-N
CHEMBL1480398,,,Small molecule,,433.53,32,43,4.2,111.42,7,0,0,4,N,0.4,11.46,None,4.91,4.91,1,MOL,-1,30,7,0,0,433.1559,-0.29,NEUTRAL,C22H27NO6S,Cc1sc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],ZPMRLHCWBPUUKA-UHFFFAOYSA-N
CHEMBL1374578,,,Small molecule,,413.84,17,21,5.33,97.51,5,1,1,6,N,0.33,3.43,None,5.82,2.43,3,MOL,-1,28,6,1,1,413.0125,-1.36,ACID,C20H12ClNO5S,O=C(O)c1ccccc1C(=O)c1ccc(Sc2ccc(Cl)cc2)c([N+](=O)[O-])c1,PPIPRCBNQISFCA-UHFFFAOYSA-N
CHEMBL1588339,,,Small molecule,,415.51,48,71,4.78,92.7,5,2,0,6,N,0.52,2.77,None,6.19,2.69,2,MOL,-1,29,6,2,0,415.1453,-0.96,ACID,C22H25NO5S,CCOC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C(C)(C)C)cc1,KKTFFPJFLJNMLG-VAWYXSNFSA-N
CHEMBL1711524,,,Small molecule,,526.45,15,16,5.95,74.68,3,1,2,5,N,0.45,3.34,None,6.47,3.05,3,MOL,-1,33,5,1,2,525.0609,-0.54,ACID,C26H24BrNO4S,Cc1ccc([C@@H]2CC=C(C(=O)O)[C@H](c3ccc(Br)cc3)N2S(=O)(=O)c2ccccc2C)cc1,LCXCNVBZXSFFOJ-ZCYQVOJMSA-N
CHEMBL1400620,,,Small molecule,,422.82,33,43,4.07,99.85,4,2,0,4,N,0.49,2.94,None,3.83,0.09,3,MOL,-1,30,7,2,0,422.0669,-1.46,ACID,C22H15ClN2O5,Cc1cccc(N2NC(=O)/C(=C/c3ccc(-c4ccc(Cl)c(C(=O)O)c4)o3)C2=O)c1,NKWHHMDBDZPZNO-BOPFTXTBSA-N
CHEMBL1895397,,,Small molecule,,318.38,19,28,3.31,50.27,4,0,0,2,N,0.73,None,5.68,3.26,3.25,2,MOL,-1,24,4,0,0,318.1368,0.11,NEUTRAL,C20H18N2O2,O=C1c2ccccc2C(=O)c2c(/C=C/N3CCCCC3)ccnc21,ZZOIBZBKTUIRIW-UKTHLTGXSA-N
CHEMBL1449334,,,Small molecule,,259.29,54,68,3.11,64.95,6,0,0,3,N,0.67,None,None,2.56,2.56,3,MOL,-1,18,5,0,0,259.0415,-1.65,NEUTRAL,C12H9N3O2S,CSc1nnc(-c2ccco2)c(-c2ccco2)n1,SERAYZIPJKSYSO-UHFFFAOYSA-N
CHEMBL390559,,,Small molecule,,449.99,26,29,4.68,75.43,6,1,0,8,N,0.36,4.29,1.79,4.39,1.42,2,MOL,-1,29,6,1,0,449.0635,-1.77,ACID,C20H20ClN3O3S2,Cc1nn(-c2ccccc2)c(Cl)c1/C=C1\SC(=S)N(CCCCCC(=O)O)C1=O,VIZMVONYWAFVSZ-VBKFSLOCSA-N
CHEMBL1420739,,,Small molecule,,410.43,29,29,3.93,75.71,4,1,0,3,N,0.41,6.55,None,4.27,3.4,3,MOL,-1,31,6,1,0,410.1267,-0.78,NEUTRAL,C25H18N2O4,COc1ccccc1N1C(=O)NC(=O)/C(=C/c2ccc3c(c2)Cc2ccccc2-3)C1=O,HCEOZBFFTUWIRJ-MOSHPQCFSA-N
CHEMBL4575563,,,Unknown,,406.49,1,1,-0.25,183.42,5,7,1,13,N,0.13,3.62,12.06,-2.23,-4.73,1,MOL,-1,29,10,9,1,406.2329,0.17,ZWITTERION,C19H30N6O4,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1ccccc1)C(=O)O,BAXKZVHMIAMUCQ-GJZGRUSLSA-N
